id,ref,name,street,street2,zip,city,subtype,weight,lot_routing,distri_sort,version_plan,dropoff_type
drop_6H_1,756960,BUREAU DE POSTE PARIS OPERA BP,8 RUE AUBER,,75009,PARIS,BPR,20,,,,laposte
drop_6H_3,756990,BUREAU DE POSTE PARIS PARC DE LA VILLETTE,3 AV DU NOUVEAU CONSERVATOIRE,,75019,PARIS,BPR,20,,,,laposte
drop_6H_5,757010,BUREAU DE POSTE PARIS BUTTE AUX CAILLES,216 RUE DE TOLBIAC,,75013,PARIS,BPR,20,,,,laposte
drop_6H_6,757020,BUREAU DE POSTE PARIS BIENVENUE,42 BOULEVARD DE VAUGIRARD,,75015,PARIS,BPR,20,,,,laposte
drop_6H_8,757040,BUREAU DE POSTE PARIS DEBUSSY,23 B RUE LEGENDRE,,75017,PARIS,BPR,20,,,,laposte
drop_6H_10,757060,BUREAU DE POSTE PARIS TROCADERO CHAILLOT ETOILE,51 RUE DE LONGCHAMP,,75116,PARIS,BPR,20,,,,laposte
drop_6H_11,110220,BUREAU DE POSTE AZILLE BP,4 RUE DE LA POSTE,,11700,AZILLE,BPR,20,,,,laposte
drop_6H_14,381310,BUREAU DE POSTE LES COTES D AREY BP,SQUARE DU SOUVENIR,,38138,LES COTES D AREY,BPR,20,,,,laposte
drop_6H_15,381340,BUREAU DE POSTE COUR ET BUIS BP,LE VILLAGE,,38122,COUR ET BUIS,BPR,20,,,,laposte
drop_6H_16,382420,BUREAU DE POSTE MONESTIER DE CLERMONT BP,GRAND RUE,,38650,MONESTIER DE CLERMONT,BPR,20,,,,laposte
drop_6H_17,382470,BUREAU DE POSTE MONTALIEU VERCIEU BP,RUE DU BESSET,,38390,MONTALIEU VERCIEU,BPR,20,,,,laposte
drop_6H_18,382490,BUREAU DE POSTE MONTBONNOT ST MARTIN BP,628 RUE GENERAL DE GAULLE,,38330,MONTBONNOT ST MARTIN,BPR,20,,,,laposte
drop_6M_0,1805,FLEURISTE JULIE BARRAL,AVENUE DU GENERAL DE GAULLE,CENTRE COMMERCIAL LE MAIL,78140,VELIZY,A2P,20,VER,78U65,1,laposte
drop_6M_7,1540,FLEURS F.DUCROS,PLACE SALEON TERRAS,,7160,LE CHEYLARD,A2P,20,VAL,07S90,1,laposte
drop_6M_10,4148,AIRDECO.FR (DEGUISEMENT),86 RUE PIERRE ET MARIE CURIE,,34430,ST JEAN DE VEDAS,A2P,20,MPL0,34U31,1,laposte
drop_6M_11,6891,FOCI PHOTO CO,6 RUE ROGER GOMMIER,,28150,VOVES,A2P,20,CHT,28T03,1,laposte
drop_6M_12,6627,INFORMATIQUE 78,1 RUE DE VERSAILLES,,78490,MONTFORT L AMAURY,A2P,20,VER,78U14,1,laposte
drop_6M_13,1356,INKOLAB,8 B RUE ABEL,,75012,PARIS,A2P,20,FTV,75M12,1,laposte
drop_6M_15,5862,INTERIEUR JOUR,3 RUE RENE LANOY,,62300,LENS,A2P,20,ARA,62S46,1,laposte
drop_6M_16,6308,IO,7 RUE DU CHATEL,,60300,SENLIS,A2P,20,CRE0,60U61,1,laposte
drop_6M_17,5332,IRISH COFFEE,10 RUE DU COLLEGE,,59300,VALENCIENNES,A2P,20,XVS,59VAL,1,laposte
drop_6M_18,5737,JARDIN D ANAIS,12 RUE JEAN BAPTISTE CLEMENT,,8120,BOGNY SUR MEUSE,A2P,20,RHE,08T05,1,laposte
drop_6M_19,1181,JARDIN DEDEN,6 RUE NATIONALE,,72000,LE MANS,A2P,20,MNS,72S01,1,laposte
drop_6M_20,5097,JE CONSOLE,33 RUE DE LA BOULE D OR,,10100,ROMILLY SUR SEINE,A2P,20,TOY,10R60,1,laposte
drop_6M_22,2568,JOYSUN,16 PLACE DU GENERAL DE GAULLE,,93220,GAGNY,A2P,20,BBY0,93V12,1,laposte
drop_6M_23,1609,LA BOITE A FLEURS,23 PLACE DU MARTRAY,,22220,TREGUIER,A2P,20,RNS0,22S10,1,laposte
drop_6J_0,923580,ESPACE CITYSSIMO ISSY VAL DE SEINE,62 RUE CAMILLE DESMOULINS,,92130,ISSY LES MOULINEAUX,CIT,20,,,,laposte
drop_6J_1,923570,ESPACE CITYSSIMO LA DEFENSE,PLACE DE LA DEFENSE GARE RER,ESPACE VILLAGE SERVICES,92000,NANTERRE,CIT,20,,,,laposte
drop_6J_3,597860,ESPACE CITYSSIMO LILLE REPUBLIQUE,8 PLACE DE LA REPUBLIQUE,,59031,LILLE CEDEX,CIT,20,,,,laposte
drop_6J_5,750805,ESPACE CITYSSIMO PARIS BEAUX ARTS,1 RUE DE L UNIVERSITE,,75007,PARIS,CIT,20,,,,laposte
